dataset_key,source_dataset,file_id,image_path,mask_path,image_relative_path,mask_relative_path,image_file_name,mask_file_name,mask_encoding,background_value,structure_value_1,structure_value_2,split_group_id,include_in_first_pass,qa_status,notes,split
glaucoma_fundus_imaging_bundle,ORIGA,001,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/001.jpg,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/001.png,ORIGA/Images/001.jpg,ORIGA/Masks/001.png,001.jpg,001.png,multiclass_values_0_1_2,0,1,2,ORIGA_001,True,paired_and_visual_sample_reviewed,ORIGA image and mask IDs matched exactly for 650 records. Five sampled pairs were visually reviewed and masks appeared aligned.,train
glaucoma_fundus_imaging_bundle,ORIGA,002,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/002.jpg,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/002.png,ORIGA/Images/002.jpg,ORIGA/Masks/002.png,002.jpg,002.png,multiclass_values_0_1_2,0,1,2,ORIGA_002,True,paired_and_visual_sample_reviewed,ORIGA image and mask IDs matched exactly for 650 records. Five sampled pairs were visually reviewed and masks appeared aligned.,train
glaucoma_fundus_imaging_bundle,ORIGA,003,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/003.jpg,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/003.png,ORIGA/Images/003.jpg,ORIGA/Masks/003.png,003.jpg,003.png,multiclass_values_0_1_2,0,1,2,ORIGA_003,True,paired_and_visual_sample_reviewed,ORIGA image and mask IDs matched exactly for 650 records. Five sampled pairs were visually reviewed and masks appeared aligned.,test
glaucoma_fundus_imaging_bundle,ORIGA,004,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/004.jpg,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/004.png,ORIGA/Images/004.jpg,ORIGA/Masks/004.png,004.jpg,004.png,multiclass_values_0_1_2,0,1,2,ORIGA_004,True,paired_and_visual_sample_reviewed,ORIGA image and mask IDs matched exactly for 650 records. Five sampled pairs were visually reviewed and masks appeared aligned.,train
glaucoma_fundus_imaging_bundle,ORIGA,005,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/005.jpg,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/005.png,ORIGA/Images/005.jpg,ORIGA/Masks/005.png,005.jpg,005.png,multiclass_values_0_1_2,0,1,2,ORIGA_005,True,paired_and_visual_sample_reviewed,ORIGA image and mask IDs matched exactly for 650 records. Five sampled pairs were visually reviewed and masks appeared aligned.,train
glaucoma_fundus_imaging_bundle,ORIGA,006,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/006.jpg,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/006.png,ORIGA/Images/006.jpg,ORIGA/Masks/006.png,006.jpg,006.png,multiclass_values_0_1_2,0,1,2,ORIGA_006,True,paired_and_visual_sample_reviewed,ORIGA image and mask IDs matched exactly for 650 records. Five sampled pairs were visually reviewed and masks appeared aligned.,train
glaucoma_fundus_imaging_bundle,ORIGA,007,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/007.jpg,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/007.png,ORIGA/Images/007.jpg,ORIGA/Masks/007.png,007.jpg,007.png,multiclass_values_0_1_2,0,1,2,ORIGA_007,True,paired_and_visual_sample_reviewed,ORIGA image and mask IDs matched exactly for 650 records. Five sampled pairs were visually reviewed and masks appeared aligned.,test
glaucoma_fundus_imaging_bundle,ORIGA,008,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/008.jpg,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/008.png,ORIGA/Images/008.jpg,ORIGA/Masks/008.png,008.jpg,008.png,multiclass_values_0_1_2,0,1,2,ORIGA_008,True,paired_and_visual_sample_reviewed,ORIGA image and mask IDs matched exactly for 650 records. Five sampled pairs were visually reviewed and masks appeared aligned.,test
glaucoma_fundus_imaging_bundle,ORIGA,009,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/009.jpg,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/009.png,ORIGA/Images/009.jpg,ORIGA/Masks/009.png,009.jpg,009.png,multiclass_values_0_1_2,0,1,2,ORIGA_009,True,paired_and_visual_sample_reviewed,ORIGA image and mask IDs matched exactly for 650 records. Five sampled pairs were visually reviewed and masks appeared aligned.,train
glaucoma_fundus_imaging_bundle,ORIGA,010,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/010.jpg,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/010.png,ORIGA/Images/010.jpg,ORIGA/Masks/010.png,010.jpg,010.png,multiclass_values_0_1_2,0,1,2,ORIGA_010,True,paired_and_visual_sample_reviewed,ORIGA image and mask IDs matched exactly for 650 records. Five sampled pairs were visually reviewed and masks appeared aligned.,train
