run_name,model_name,encoder_name,strategy_name,phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,augmentation_mode,mean_foreground_dice
synthetic_unetplusplus_resnet18_small_affine_256px_5epoch,unetplusplus,resnet18,small_affine,train,1,1.0049162621837455,0.5686427019061958,0.4978374500990535,0.2954250801878268,3822,478,163.90123970713466,,virtual_synthetic_add_back,0.5332400760026247
synthetic_unetplusplus_resnet18_small_affine_256px_5epoch,unetplusplus,resnet18,small_affine,val,1,0.51893743449244,0.754855510500283,0.7473267340952353,0.1099315450792842,725,91,24.748488541692492,,virtual_synthetic_add_back,0.7510911222977592
synthetic_unetplusplus_resnet18_small_affine_256px_5epoch,unetplusplus,resnet18,small_affine,train,2,0.30540161127978,0.7819703262845682,0.6921693865353988,0.1099925579292439,3822,478,157.49678614689037,,virtual_synthetic_add_back,0.7370698564099836
synthetic_unetplusplus_resnet18_small_affine_256px_5epoch,unetplusplus,resnet18,small_affine,val,2,0.205437759633722,0.8037325928776314,0.7681554774454733,0.0858802419100083,725,91,23.44227361259982,,virtual_synthetic_add_back,0.7859440351615523
synthetic_unetplusplus_resnet18_small_affine_256px_5epoch,unetplusplus,resnet18,small_affine,train,3,0.1722012769990351,0.8276092645520794,0.7338691537311044,0.0913407158812709,3822,478,156.33501320984217,,virtual_synthetic_add_back,0.7807392091415919
synthetic_unetplusplus_resnet18_small_affine_256px_5epoch,unetplusplus,resnet18,small_affine,val,3,0.151523471824054,0.834597293923217,0.7895954981920814,0.0744555067014805,725,91,23.738620092161,,virtual_synthetic_add_back,0.8120963960576493
synthetic_unetplusplus_resnet18_small_affine_256px_5epoch,unetplusplus,resnet18,small_affine,train,4,0.1378038782121497,0.8532558813816349,0.7668570780016418,0.0785283457930379,3822,478,157.90843154024333,,virtual_synthetic_add_back,0.8100564796916383
synthetic_unetplusplus_resnet18_small_affine_256px_5epoch,unetplusplus,resnet18,small_affine,val,4,0.1481609907232481,0.8316580143554604,0.7909959270070664,0.0645775456461978,725,91,23.78697012877092,,virtual_synthetic_add_back,0.8113269706812634
synthetic_unetplusplus_resnet18_small_affine_256px_5epoch,unetplusplus,resnet18,small_affine,train,5,0.1230609939477008,0.8663867562831015,0.7835721157093981,0.073487704912587,3822,478,156.45124883577228,,virtual_synthetic_add_back,0.8249794359962498
synthetic_unetplusplus_resnet18_small_affine_256px_5epoch,unetplusplus,resnet18,small_affine,val,5,0.1326613044327703,0.84748257786263,0.7908645769339854,0.0628628350608662,725,91,22.868056152015924,,virtual_synthetic_add_back,0.8191735773983078
synthetic_unet_resnet18_vignette_illumination_256px_5epoch,unet,resnet18,vignette_illumination,train,1,0.7065365788264152,0.6364193232412232,0.45033508187823373,0.21420491029081867,3822,478,146.95689188409597,,virtual_synthetic_add_back,0.5433772025597284
synthetic_unet_resnet18_vignette_illumination_256px_5epoch,unet,resnet18,vignette_illumination,val,1,0.40826021325999295,0.5830142932199326,0.6378706908924311,0.12631464382871013,725,91,22.92352675413713,,virtual_synthetic_add_back,0.6104424920561818
synthetic_unet_resnet18_vignette_illumination_256px_5epoch,unet,resnet18,vignette_illumination,train,2,0.22746240645101218,0.7944673487487892,0.7050909098415191,0.10288434910248956,3822,478,149.31255244277418,,virtual_synthetic_add_back,0.7497791292951541
synthetic_unet_resnet18_vignette_illumination_256px_5epoch,unet,resnet18,vignette_illumination,val,2,0.21303843905185832,0.7488408246324119,0.7244348554025855,0.09732302360527607,725,91,22.87619328778237,,virtual_synthetic_add_back,0.7366378400174987
synthetic_unet_resnet18_vignette_illumination_256px_5epoch,unet,resnet18,vignette_illumination,train,3,0.1541418943891408,0.8370667668192672,0.7526767753255541,0.08428429743621173,3822,478,149.38036927906796,,virtual_synthetic_add_back,0.7948717710724107
synthetic_unet_resnet18_vignette_illumination_256px_5epoch,unet,resnet18,vignette_illumination,val,3,0.14840829372406006,0.8320090288881404,0.7800663010050122,0.07309342543013685,725,91,23.360778767149895,,virtual_synthetic_add_back,0.8060376649465764
synthetic_unet_resnet18_vignette_illumination_256px_5epoch,unet,resnet18,vignette_illumination,train,4,0.12288491850916719,0.8632110036085529,0.7912493314169823,0.06988270728364761,3822,478,150.46353597799316,,virtual_synthetic_add_back,0.8272301675127676
synthetic_unet_resnet18_vignette_illumination_256px_5epoch,unet,resnet18,vignette_illumination,val,4,0.13776604765448078,0.8497779819402942,0.7804820010006635,0.06967913249600667,725,91,23.201010287273675,,virtual_synthetic_add_back,0.8151299914704788
synthetic_unet_resnet18_vignette_illumination_256px_5epoch,unet,resnet18,vignette_illumination,train,5,0.10532690192441675,0.8807474883568556,0.8214450397616413,0.05933862737006874,3822,478,149.8029831466265,,virtual_synthetic_add_back,0.8510962640592484
synthetic_unet_resnet18_vignette_illumination_256px_5epoch,unet,resnet18,vignette_illumination,val,5,0.14932766480692503,0.8238617264482736,0.7740293755277527,0.072981478063558,725,91,23.37629782874137,,virtual_synthetic_add_back,0.7989455509880132
