dataset_key,dataset_root,relative_path,file_name,extension,file_size_bytes,file_class,has_mask_keyword
glaucoma_fundus_imaging_bundle,/sfs/gpfs/tardis/home/gsr3qz/Documents/MSDS/CAPSTONE/GitHub/Automated-Glaucoma-Screening-Using-AI-Enhanced-Ophthalmoscopy/data/external/kaggle/glaucoma_fundus_imaging_bundle,G1020/G1020.csv,G1020.csv,.csv,18036,possible_annotation,False
glaucoma_fundus_imaging_bundle,/sfs/gpfs/tardis/home/gsr3qz/Documents/MSDS/CAPSTONE/GitHub/Automated-Glaucoma-Screening-Using-AI-Enhanced-Ophthalmoscopy/data/external/kaggle/glaucoma_fundus_imaging_bundle,G1020/Images/image_0.json,image_0.json,.json,1083,possible_annotation,False
glaucoma_fundus_imaging_bundle,/sfs/gpfs/tardis/home/gsr3qz/Documents/MSDS/CAPSTONE/GitHub/Automated-Glaucoma-Screening-Using-AI-Enhanced-Ophthalmoscopy/data/external/kaggle/glaucoma_fundus_imaging_bundle,G1020/Images/image_1.json,image_1.json,.json,1157,possible_annotation,False
glaucoma_fundus_imaging_bundle,/sfs/gpfs/tardis/home/gsr3qz/Documents/MSDS/CAPSTONE/GitHub/Automated-Glaucoma-Screening-Using-AI-Enhanced-Ophthalmoscopy/data/external/kaggle/glaucoma_fundus_imaging_bundle,G1020/Images/image_10.json,image_10.json,.json,848,possible_annotation,False
glaucoma_fundus_imaging_bundle,/sfs/gpfs/tardis/home/gsr3qz/Documents/MSDS/CAPSTONE/GitHub/Automated-Glaucoma-Screening-Using-AI-Enhanced-Ophthalmoscopy/data/external/kaggle/glaucoma_fundus_imaging_bundle,G1020/Images/image_1000.json,image_1000.json,.json,903,possible_annotation,False
glaucoma_fundus_imaging_bundle,/sfs/gpfs/tardis/home/gsr3qz/Documents/MSDS/CAPSTONE/GitHub/Automated-Glaucoma-Screening-Using-AI-Enhanced-Ophthalmoscopy/data/external/kaggle/glaucoma_fundus_imaging_bundle,G1020/Images/image_1001.json,image_1001.json,.json,1385,possible_annotation,False
glaucoma_fundus_imaging_bundle,/sfs/gpfs/tardis/home/gsr3qz/Documents/MSDS/CAPSTONE/GitHub/Automated-Glaucoma-Screening-Using-AI-Enhanced-Ophthalmoscopy/data/external/kaggle/glaucoma_fundus_imaging_bundle,G1020/Images/image_1002.json,image_1002.json,.json,1089,possible_annotation,False
glaucoma_fundus_imaging_bundle,/sfs/gpfs/tardis/home/gsr3qz/Documents/MSDS/CAPSTONE/GitHub/Automated-Glaucoma-Screening-Using-AI-Enhanced-Ophthalmoscopy/data/external/kaggle/glaucoma_fundus_imaging_bundle,G1020/Images/image_1003.json,image_1003.json,.json,1076,possible_annotation,False
glaucoma_fundus_imaging_bundle,/sfs/gpfs/tardis/home/gsr3qz/Documents/MSDS/CAPSTONE/GitHub/Automated-Glaucoma-Screening-Using-AI-Enhanced-Ophthalmoscopy/data/external/kaggle/glaucoma_fundus_imaging_bundle,G1020/Images/image_1004.json,image_1004.json,.json,1137,possible_annotation,False
glaucoma_fundus_imaging_bundle,/sfs/gpfs/tardis/home/gsr3qz/Documents/MSDS/CAPSTONE/GitHub/Automated-Glaucoma-Screening-Using-AI-Enhanced-Ophthalmoscopy/data/external/kaggle/glaucoma_fundus_imaging_bundle,G1020/Images/image_103.json,image_103.json,.json,1052,possible_annotation,False
